franchise,season,avg_score,n_episodes
Love Is Blind,7,0.022,13
Love Is Blind,8,0.089,14
Love Is Blind,9,0.062,13
Love on the Spectrum,1,0.059,6
Love on the Spectrum,2,0.086,7
Love on the Spectrum,3,0.021,7
Love, Death & Robots,1,-0.057,18
Love, Death & Robots,2,-0.423,8
Love, Death & Robots,3,-0.178,9
Love, Death & Robots,4,-0.023,10
Lucifer,1,-0.155,13
Lucifer,2,-0.193,18
Lucifer,3,-0.138,26
Lucifer,4,-0.208,10
Lucifer,5,-0.164,16
Lucifer,6,-0.093,10
Manifest,1,-0.058,16
Manifest,2,-0.085,13
Manifest,3,0.03,13
Manifest,4,-0.073,20
Masha and the Bear,1,0.03,26
Masha and the Bear,2,0.037,26
Masha and the Bear,3,0.066,26
Masha and the Bear,4,0.041,13
Masha and the Bear,5,0.046,26
Medusa,1,0.037,11
Mercy For None,1,-0.154,7
Mighty Little Bheem,1,0.059,21
Mighty Little Bheem,2,0.01,28
Mighty Little Bheem,3,-0.034,15
Miraculous,1,-0.123,26
Miraculous,2,-0.017,25
Miraculous,3,-0.022,26
Miraculous,4,0.06,26
Miraculous,5,-0.054,26
Miraculous,6,0.005,26
Mo,1,-0.102,8
Money Heist,1,0.003,15
Money Heist,2,0.037,16
Money Heist,3,0.009,10
Ms. Rachel,1,0.161,4
My Little Pony,1,0.08,26
My Little Pony,2,0.038,26
My Little Pony,3,0.072,13
My Little Pony,4,0.04,26
My Little Pony,5,0.043,26
My Little Pony,6,0.076,26
My Little Pony,7,0.056,26
My Little Pony,8,0.089,26
My Little Pony,9,0.087,26
Narcos,1,-0.018,10
Narcos,2,0.007,10
Narcos,3,-0.086,10
Naruto,1,-0.017,52
Naruto,2,0.004,52
Naruto,3,-0.018,54
Naruto,4,0.008,62
NCIS,1,-0.245,23
NCIS,2,-0.16,23
NCIS,3,-0.134,24
NCIS,4,-0.204,24
NCIS,5,-0.297,19
NCIS,6,-0.28,25
NCIS,7,-0.232,24
NCIS,8,-0.288,24
NCIS,9,-0.216,24
NCIS,10,-0.11,24
NCIS,11,-0.172,24
NCIS,12,-0.192,24
NCIS,13,-0.177,24
NCIS,14,-0.201,24
NCIS,15,-0.112,24
NCIS,16,-0.166,24
NCIS,17,-0.213,20
NCIS,18,-0.252,16
NCIS,19,-0.223,21
NCIS,20,-0.226,22
NCIS,21,-0.115,10
NCIS,22,-0.169,20
NCIS,23,-0.099,9
Never Have I Ever,1,0.118,10
Never Have I Ever,2,0.053,10
Never Have I Ever,3,-0.006,10
Never Have I Ever,4,0.115,10
ONE PIECE,1,-0.054,61
ONE PIECE,2,0.028,16
ONE PIECE,3,0,14
ONE PIECE,4,-0.034,39
ONE PIECE,5,0.017,13
ONE PIECE,6,-0.01,52
ONE PIECE,7,-0.001,33
ONE PIECE,8,-0.012,35
ONE PIECE,9,-0.017,73
ONE PIECE,10,-0.032,45
ONE PIECE,11,0.038,26
ONE PIECE,12,-0.005,14
ONE PIECE,13,-0.02,101
ONE PIECE,14,-0.018,58
ONE PIECE,15,-0.032,62
ONE PIECE,16,0.013,50
ONE PIECE,17,0.028,56
ONE PIECE,18,-0.007,55
ONE PIECE,19,0.005,74
ONE PIECE,20,0.052,14
ONE PIECE,21,-0.018,197
ONE PIECE,22,0.003,67
Orange Is the New Black,1,-0.029,13
Orange Is the New Black,2,-0.003,13
Orange Is the New Black,3,0.015,13
Orange Is the New Black,4,-0.016,13
Orange Is the New Black,5,-0.051,13
Orange Is the New Black,6,-0.036,13
Orange Is the New Black,7,0.096,13
Outer Banks,1,0.022,10
Outer Banks,2,0.033,10
Outer Banks,3,0.101,10
Outer Banks,4,-0.019,10
Outlander,1,0.007,16
Outlander,2,-0.012,13
Outlander,3,0.049,13
Outlander,4,-0.011,13
Outlander,5,-0.174,12
Outlander,6,-0.157,8
Outlander,7,0.02,16
PAW Patrol,1,0.068,47
PAW Patrol,2,0.027,47
PAW Patrol,3,0.005,50
PAW Patrol,4,-0.01,45
PAW Patrol,5,0.024,49
PAW Patrol,6,0.073,47
PAW Patrol,7,0.083,47
PAW Patrol,8,0.08,47
PAW Patrol,9,0.115,42
PAW Patrol,10,0.082,49
PAW Patrol,11,0.03,50
Peaky Blinders,1,-0.138,6
Peaky Blinders,2,0.059,6
Peaky Blinders,3,-0.093,6
Peaky Blinders,4,-0.012,6
Peaky Blinders,5,0.006,6
Peaky Blinders,6,-0.027,6
Peppa Pig,1,0.103,52
Peppa Pig,2,0.07,52
Peppa Pig,3,0.095,52
Peppa Pig,4,0.074,52
Peppa Pig,5,0.109,52
Peppa Pig,6,0.09,52
Peppa Pig,7,0.081,65
Peppa Pig,8,0,39
Prison Break,1,-0.042,22
Prison Break,2,-0.016,22
Prison Break,3,0.006,13
Prison Break,4,-0.021,22
Prison Break,5,0.008,9
Prison Cell 211,1,-0.21,6
PULSE,2,-0.014,11
PULSE,4,-0.047,11
PULSE,6,-0.008,12
PULSE,8,-0.007,13
PULSE,9,-0.017,12
PULSE,10,-0.009,13
PULSE,11,0.004,12
PULSE,13,-0.033,12
PULSE,15,-0.103,12
PULSE,16,-0.069,12
PULSE,17,-0.079,12
PULSE,18,-0.01,12
PULSE,19,-0.023,14
PULSE,20,-0.103,12
PULSE,21,-0.033,11
PULSE,22,-0.047,15
PULSE,23,-0.04,15
PULSE,24,-0.033,18
PULSE,27,-0.016,27
PULSE,28,-0.019,27
PULSE,29,-0.021,26
PULSE,30,-0.04,29
PULSE,31,-0.02,29
PULSE,32,-0.007,29
PULSE,33,-0.041,31
PULSE,34,-0.036,33
PULSE,35,-0.057,30
PULSE,36,-0.031,35
PULSE,37,-0.024,32
PULSE,38,-0.011,35
PULSE,39,-0.029,31
PULSE,40,-0.17,34
PULSE,41,-0.179,35
PULSE,42,-0.146,36
PULSE,43,-0.133,35
PULSE,44,-0.168,36
PULSE,45,-0.071,36
PULSE,46,-0.171,40
PULSE,47,-0.063,37
PULSE,48,-0.11,35
PULSE,49,-0.103,37
PULSE,50,-0.121,37
PULSE,51,-0.121,36
PULSE,52,-0.138,33
PULSE,53,-0.045,36
PULSE,54,-0.038,35
PULSE,55,-0.114,32
PULSE,56,-0.131,32
Ransom Canyon,1,-0.131,10
Raw,1,-0.003,45
Raw,2,-0.005,47
Raw,3,0.022,48
Raw,4,-0.003,51
Raw,5,0.021,52
Raw,6,-0.006,52
Raw,7,0.001,52
Raw,8,0.013,52
Raw,9,-0.001,53
Raw,10,-0.002,52
Raw,11,0.02,52
Raw,12,0.013,52
Raw,13,0.004,52
Raw,14,-0.001,52
Raw,15,0.018,53
Raw,16,0.005,52
Raw,17,0.024,52
Raw,18,-0.002,52
Raw,19,-0.014,52
Raw,20,0.013,53
Raw,21,0.01,52
Raw,22,0.004,52
Raw,23,0,52
Raw,24,0.006,52
Raw,25,0.017,52
Raw,26,0.005,53
Raw,27,-0.004,52
Raw,28,-0.009,52
Raw,29,-0.005,52
Raw,30,-0.015,52
Raw,31,-0.036,52
Raw,32,-0.052,53
Raw,33,-0.005,52
Resident Alien,1,0.044,10
Resident Alien,2,-0.092,16
Resident Alien,3,0.009,8
Resident Alien,4,-0.031,10
Rick and Morty,1,0.058,11
Rick and Morty,2,0.027,10
Rick and Morty,3,-0.009,10
Rick and Morty,4,0.022,10
Rick and Morty,5,0.219,10
Rick and Morty,6,0.078,10
Rick and Morty,7,0.157,10
Rick and Morty,8,0.04,10
Running Point,1,0.017,10
S.W.A.T. (2017),1,-0.051,22
S.W.A.T. (2017),2,-0.046,23
S.W.A.T. (2017),3,-0.035,21
S.W.A.T. (2017),4,-0.064,18
S.W.A.T. (2017),5,-0.084,22
S.W.A.T. (2017),6,-0.153,22
S.W.A.T. (2017),7,-0.102,13
S.W.A.T. (2017),8,-0.255,22
SAKAMOTO DAYS,1,-0.075,22
Schitt's Creek,1,0.014,13
Schitt's Creek,2,0.045,13
Schitt's Creek,3,0.005,13
Schitt's Creek,4,-0.056,12
Schitt's Creek,5,0.054,14
Schitt's Creek,6,0.052,14
Secrets We Keep,1,0.032,6
Seinfeld,1,0.052,5
Seinfeld,2,0.011,12
Seinfeld,3,0.05,23
Seinfeld,4,0.071,24
Seinfeld,5,0.1,22
Seinfeld,6,0.035,24
Seinfeld,7,0.007,24
Seinfeld,8,0.043,22
Seinfeld,9,-0.025,24
Sex and the City,1,0.054,12
Sex and the City,2,0.023,18
Sex and the City,3,0.031,18
Sex and the City,4,0.018,18
Sex and the City,5,0.007,8
Sex and the City,6,0.048,20
Shaun the Sheep,1,0.038,40
Shaun the Sheep,2,0.022,40
Shaun the Sheep,3,0.02,20
Shaun the Sheep,4,0.031,30
Shaun the Sheep,5,0.026,20
Shaun the Sheep,6,-0.023,20
Sintonia,1,-0.035,6
Sintonia,2,-0.052,6
Sintonia,3,0.006,6
Sintonia,4,-0.016,8
Sintonia,5,-0.06,6
Sirens,1,-0.033,5
Sonic Prime,1,-0.023,8
Sonic Prime,2,-0.039,8
Sonic Prime,3,-0.018,7
Special Ops,1,-0.092,8
Special Ops,2,-0.021,8
Spirit Riding Free,1,0.101,6
Spirit Riding Free,2,0.107,7
Spirit Riding Free,3,0.114,7
Spirit Riding Free,5,0.155,7
Spirit Riding Free,7,0.041,7
Squid Game,1,-0.043,9
Squid Game,2,-0.014,7
Squid Game,3,-0.138,6
Stranger Things,1,-0.05,8
Stranger Things,2,-0.211,9
Stranger Things,3,0.014,8
Stranger Things,4,-0.05,9
Superstore,1,0.002,11
Superstore,2,-0.004,22
Superstore,3,-0.009,22
Superstore,4,-0.002,22
Superstore,5,0.016,21
Superstore,6,0.032,15
Surviving Black Hawk Down,1,-0.044,3
Sweet Magnolias,1,-0.02,10
Sweet Magnolias,2,-0.013,10
Sweet Magnolias,3,0.075,10
Sweet Magnolias,4,-0.038,10
Tastefully Yours,1,0.011,10
The Apothecary Diaries,1,0.004,48
The Big Bang Theory,1,0.029,17
The Big Bang Theory,2,0.058,23
The Big Bang Theory,3,0.031,23
The Big Bang Theory,4,0.056,24
The Big Bang Theory,5,0.01,24
The Big Bang Theory,6,-0.026,24
The Big Bang Theory,7,-0.011,24
The Big Bang Theory,8,0.015,24
The Big Bang Theory,9,0.026,24
The Big Bang Theory,10,0.019,24
The Big Bang Theory,11,0.024,24
The Big Bang Theory,12,0.024,24
The Blacklist,1,-0.14,22
The Blacklist,2,-0.12,22
The Blacklist,3,-0.112,23
The Blacklist,4,-0.066,22
The Blacklist,5,-0.047,22
The Blacklist,6,-0.035,22
The Blacklist,7,-0.073,19
The Blacklist,8,-0.032,22
The Blacklist,9,-0.103,22
The Blacklist,10,-0.02,22
The Boss Baby,1,0.073,13
The Boss Baby,2,0.015,13
The Boss Baby,3,0.049,11
The Boss Baby,4,0.013,12
The Breakthrough,1,-0.006,27
The Chosen,1,0.005,8
The Chosen,2,-0.012,8
The Chosen,3,-0.05,8
The Chosen,4,0.002,8
The Chosen,5,-0.043,8
The Creature Cases,1,0.008,23
The Creature Cases,2,0,1
The Creature Cases,3,-0.014,14
The Creature Cases,4,0.052,10
The Creature Cases,5,0.06,9
The Crown,1,0.052,10
The Crown,2,0.006,10
The Crown,3,0,10
The Crown,4,-0.101,10
The Crown,5,0.052,10
The Crown,6,-0.037,10
The Empress,1,0.005,76
The Eternaut,1,-0.124,6
The Flash (2014),1,-0.076,23
The Flash (2014),2,-0.018,23
The Flash (2014),3,-0.025,23
The Flash (2014),4,-0.011,23
